aalib 1.4rc5-13
pulseaudio-bluetooth 12.2-2
pyalpm 0.8.5-2
pygobject-devel 3.32.0-1
python 3.7.3-1
python-anytree 2.6.0-2
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-astroid 2.1.0-1
python-atspi 2.32.0-1
python-babel 2.6.0-2
python-cached-property 1.5.1-2
python-cairo 1.18.0-1
python-cffi 1.12.2-1
python-chardet 3.0.4-2
python-click 7.0-1
python-cryptography 2.6.1-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-decorator 4.3.2-1
python-docker 3.7.0-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-3
python-docopt 0.6.2-5
python-docutils 0.14-2
python-fido2 0.5.0-1
python-gobject 3.32.0-1
python-greenlet 0.4.15-1
python-idna 2.8-1
python-imagesize 1.1.0-1
python-isort 4.3.4-2
python-jedi 0.13.3-1
python-jinja 2.10-2
python-jsonschema 2.6.0-3
python-lazy-object-proxy 1.3.1-2
python-lxml 4.3.3-1
python-markupsafe 1.1.1-1
python-mccabe 0.6.1-2
python-msgpack 0.6.1-1
python-neovim 0.3.2-2
python-packaging 19.0-1
python-parso 0.3.3-1
python-periphery 1.1.1-3
python-pexpect 4.6.0-2
python-pickleshare 0.7.5-1
python-ply 3.11-2
python-powerline 2.7-3
python-prompt_toolkit 2.0.8-1
python-psutil 5.6.1-1
python-ptyprocess 0.6.0-2
python-pycodestyle 2.5.0-1
python-pycparser 2.19-1
python-pyflakes 2.1.1-1
python-pygments 2.3.1-1
python-pylint 2.2.2-1
python-pyopenssl 19.0.0-1
python-pyparsing 2.3.1-1
python-pyscard 1.9.7-2
python-pytz 2018.9-1
python-pyusb 1.0.2-2
python-regex 2019.03.09-1
python-requests 2.21.0-1
python-setuptools 1:40.8.0-1
python-simplejson 3.16.1-1
python-six 1.12.0-1
python-snowballstemmer 1.2.1-3
python-sphinx 1.8.5-1
python-sphinx-alabaster-theme 0.7.12-1
python-sphinx_rtd_theme 0.4.3-1
python-sphinxcontrib-websupport 1.1.0-2
python-sqlalchemy 1.3.1-1
python-texttable 1.6.1-1
python-traitlets 4.3.2-2
python-urllib3 1.24.1-2
python-wcwidth 0.1.7-3
python-websocket-client 0.56.0-1
python-whoosh 2.7.4-3
python-wrapt 1.11.1-1
python-xdg 0.26-2
python-yaml 3.13-2
python2 2.7.16-1
python2-cairo 1.18.0-1
python2-dbus 1.2.8-2
python2-gobject 3.32.0-1
python2-psutil 5.6.1-1
qemu 3.1.0-2
qpdf 8.4.0-1
qqwing 1.3.4-4
qt5-base 5.12.2-1
qt5-charts 5.12.2-1
qt5-script 5.12.2-1
qt5-svg 5.12.2-1
qt5-x11extras 5.12.2-1
qt5-xmlpatterns 5.12.2-1
quadrapassel 3.32.0-1
quickdocs 2.2.5-1
re2 20190301-1
readline 8.0.0-1
redis 5.0.4-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rhash 1.3.8-1
ripgrep 0.10.0-2
rofi 1.5.2-1
rpcbind 1.2.5-2
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-4
ruby 2.6.2-1
ruby-dbus 0.15.0-2
ruby-ffi 1.10.0-2
ruby-maruku 0.7.3-4
ruby-rb-inotify 0.9.10-3
ruby-rdoc 6.1.1-3
ruby-sass 3.7.3-1
ruby-sass-listen 4.0.0-6
ruby-yard 0.9.14-2
rubygems 3.0.3-1
run-parts 4.8.6.1-1
runc 1.0.0rc7-1
rust 1:1.33.0-2
rygel 0.38.0-1
s-nail 14.9.13-2
sane 1.0.27-2
sbc 1.4-1
sdl 1.2.15-10
sdl2 2.0.9-1
seabios 1.12.0-1
sed 4.7-1
shadow 4.6-2
shared-color-targets 0.1.7-2
shared-mime-info 1.12-1
simple-scan 3.32.0-1
simplenote-electron-bin 1.5.0-5
slack-desktop 3.3.8-1
slang 2.3.2-1
smbclient 4.10.0-3
snappy 1.1.7-1
sops 3.2.0-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
source-highlight 3.1.8-18
spandsp 0.0.6-2
speech-dispatcher 0.9.0-1
speex 1.2.0-2
speexdsp 1.2rc3-4
spice 0.14.0-3
spice-gtk 0.36-1
sqlite 3.27.2-1
srt 1.3.2-1
stacer 1.0.9-2
startup-notification 0.12-6
sudo 1.8.27-1
suitesparse 5.4.0-1
surf 2.0-2
sushi 3.32.0-1
swell-foop 3.32.0-1
sysfsutils 2.1.0-10
sysprof 3.32.0-1
systemd 241.7-2
systemd-libs 241.7-2
systemd-sysvcompat 241.7-2
t1lib 5.1.2-7
taglib 1.11.1-3
tali 3.32.0-1
talloc 2.1.16-2
tar 1.32-1
tcl 8.6.9-2
tdb 1.3.18-2
telepathy-glib 0.24.1-2
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-3
telepathy-mission-control 5.16.4-3
template-glib 3.32.0-1
terminator 1.91-6
tevent 1:0.9.39-2
texinfo 6.6-1
the_silver_searcher 2.2.0-1
thin-provisioning-tools 0.7.6-1
tlp 1.2.1-1
totem 3.32.0-1
totem-plparser 3.26.3-1
tracker 2.2.1-1
tracker-miners 2.2.1-1
tree 1.8.0-1
tslib 1.19-1
ttf-droid 20121017-6
ttf-font-awesome 5.8.1-1
ttf-material-design-icons 3.0.1-1
ttf-octicons 4.4.0-1
twolame 0.3.13-8
typescript 3.4.1-1
